Student's response,Score (1.0-6.0)
"Don't you wonder how all the planets in the universe were made? There are so many unbelievable things that people can hardly imagine. I recommend to go to a planetarium. Some students might get a new dream through this trip. Especially, a сardinal probem in the whole world is global warming. Also, protecting people from disasters from the outer space is important as much as protectiong people from disasters that happen in the earth. 
You have a dream, don't you? I have one too. Some students or kids don't have one. It doesn't mean they don't want to have a dream, but means they did not ever have a chance to develope and improve their talents and skills. They might find their talents about the solar system. They might get a new dream. Giving dreams and hopes to students is a job of teachers, isn't it? 
Scientists are looking for a planet inhere people should live later because they think there is a possibility for people to leave the earth. In fact, almost all people are using fossil fuels such as coal of oil everyday. If the phase continues, the earth may face downfall. Before this happens, we have to find we have to find one. Students help the scientists too. They really should know how grave the problem is. 
There are so many disasters such as earthquakes or tsunamis that happen in the earth. Have you noticed that there are also disasters in the univers? Huge stones and ores are steppong to the earth. If they literally crush the earth, the earth would be like a handkerchief. I hope students consider aboutthis. 
There is a book named ""The New Solar System"" which is written by andrew Chaikin, and it really shows well about the solar system. Maybe, you could hand out some copies of the book to students before the trip. Therefore, I recommend you to let students go to a planetarium. I hope you understand my thought and opinions. ",5
"Nature and science have a lot in relation. You can learn about how the living organisms work and what you can do to care for them. You can also learn how things work and how they are good for the world and our benefits. I think going to a nature center is the best place to go if you want to learn more about science and the world. 
One reason that it is better going to a nature center is because you can learn about the world. That is what science is about. It is about feeling, knowing, and exploring the world and your curiosities. At a nature center, you can learn what lives around you and even all over the world. Also you can learn how to care for the wonders in nature and how to keep them alive. 
The second reason that it is better to go to a nature center is because you can talk about experiences not any average person would have. Most of our loves have been consumed by living in the city of urban places. It is very difficult to see nature there. That is why if you go to a nature center, you could see things you have never seen before. You might be able to see an exotic plant or animal and observe its behavior.
Lastly, you wont imagine how much you will be learning. You will have so much fun that you wont even realize that you are learning. Sharing this knowledge.get you real exited and give you a wanting to learn more about nature. Also all of the things you saw were alive and not models your imagination go wild after seeing a real life living organisms. 
All of these reasons leads to why I think you should go to a nature center. Basicly, its all for the fun of not only knowing about science, but also aboit the worls and the knowing of things you didnt even know existed. Once you realized that you had fun learning, you might want to go back or even do research for yourself. It's fun to discover new things on your own!
",6
"There are many tings the we cand do. Firs Reason is the studen reis the hands. The studens need to reis еhe hands to see hwo many student wane go to the fiel trip. 
Seccon Reason, coint slee hwo many studens wont go to fiel trip. 
Third Reason, total. see еhe total of estudens to want go to each fiel trip.",1.5
and the monigt I wok to the school and go to my class went is go to my class I sit my frend andres and I set wat uouduent rigt girt and gishey I paquedt my book and I set you not guant came wet mi go to еhe lonch for the breffert and my frind sey yes go to the lonch and breffert. ,1.5
"If I was to pick which was the best field trip choice, it would be the nature center. I decided that choice because to me there is more to life than cities and suburbs. It's best to learn how would you survive in nature and its mishappens. Also, it's best to see what beautiful things are stored in nature. More so many people love to enjoy nature. 
It is best to experience life outside of your home. In life it best to experience new things. Nature is one of those new things. Nature have many things that you probably didn't know about. It is best to experience them. 
Nature was here before human beings, so it's good to see what they had to deal with. Human beings before our time didn't have buildings or electronics. They had nature and they used it to survive. People should learn survival skills incase they get into an situation where they need to use them. The Nature Center is the best place to go learn those skills. 
Many things fascinate the human kind why not nature. In nature there are many fascinating things. There are many animals that you probably never seen. It would be best to learn about plants in nature. You can even ask for how long they've been on Earth. 
The Nature Center is the best place to go for a field trip. Mostly because of the new experiences. Learning new survival skills and how humans survived. Also learning about the plants and animals in nature. That is why it's best to go to a nature center for a field trip. ",5.5
"Many students don't know anything about life yet. If middle schoolers went out into the world at a young age, the couldn't survive. Some wouldn't even know where to start. Thats why a field trip to the neture center would be most proper.
The nature center is an outdoors trip. Students can experience a little fun outdoors, but at the same time learn something new. Animals struggle through life just like humans do. On the trip students can learn how to survive by observing how the animals cope with struggles. When a bird is born, the parents make the baby leave at only two weeks old. When students see this happening, it will open eyes everywhere. Then realizing that growing up is just around the corner, and that it isn't too far away. 
Another reason to go would be because students get a chance to learn about the plants and foot tracks of animals. The teacher would be showing the young ladies and gentlemen what poison ivy looks like. Students can also learn many interesting facts about the flowers and trees around the nature center. Along the way tracks of some sort od animal might appear... this gives the children a chance to learn about the kind of foot an animal ma. In the process the pupils are learning about the animal as well. Also the children would even learn which animals' feet are similar to a human beings. 
Lastly the pupils would learn about the environment, and weather. How the weather affects the environment an animal lives in... would be one thing the children learn. Students would also learn how the animals mate, and how trees change color during different seasons. Throughout the whole lesson, the student might become intriged by the surroundings. Many might ask how everything got to where it is today. The students might learn a thing or two. 
All in all this would be a life experience for the students. As well as fun and adventurous. Since in the whole trip the children might have learned about life, growing up, and the environment. It would be an educational and outdoors trip. It would give students a chance to get away from sunschool. Although they would learn a lot; they would also have some fun. All of the reasons I listed are why I want the class to go to the nature center on the next field trip. It would give everyone a chance to have an exciting day while learning something new. ",5.8
"We rid on a horse and give it to eat.
Donkey's eat and wayke. laso lik gevi samdty arid.",1
"I'm like the donkey. 
I get a lot of stuphe I did. 
I trie to mike my work easier. 
Then I do it rougg. 
So don't take the easy way.",2
I am most likely than the horse because I do whay I am told to do. I don't listen to guys who won't do it and do something else. Its omportant to get your work done. It is sometimes hard to do. It is sometimes fun to do. It takes time. You don't rush to get it done.,3
"I think I'm more like the horse because I don't do wrong things on purpose like the donkey. I try to do the right things, so I won't have lots of homework or something else kind of like how the donkey had a lot of work. Instead of trying to get out of my work. Instead of trying to get out of my work or homework and making an excuse. I just do my work it's better that way.",4
"To me I'm more like the horse because I do my job at home. When me and my mom go to the grocery store I help her with the bags. My brother gets the big ones and I get the rest then my sister puts the things away. I like helping so things are done fast and we don't have more work, like donkey. It's good to help because then you don't waste things like donkey did with the sugar. and the horse is right because you shouldn't be trying to get away from doing work and if you try you may get away with it but you may have more work too. So this are all the reasons why I think I'm more like a horse because helping is a good thing. ",5
In real life I'm more like horse. One example is I never ever cheat. In karate they master I made the whole class do pushups. Some people weren't doing them when he wasn't looking but I did them. My second example is I never lie. When I was at camp me and a boy got in trouble. He said he didn't hit me but I hit him. I said we didn't even hit each other. Later they found out that we didn't hit eachother and the boy got in trouble for lieing to a teacher. The last example is I never ever listen to bad things. Once my friend told me to take a match and light it. I said it was to dangerous and risky. So later I ended up not lighting it. I told my parents I didn't listen to him. Me and the horse are alike because we are both good and don't do bad things. Also me and the horse both hate doing wrong things. ,6
I am more like the Horses becase I will whork.,1
"I am like the horse becuse I am strong, fast, big and don't ",1
"Today I'm writting about If I'm a Donkey or a Horse. 
First, when I go with my family to buy stuff I always carry all the stuff. Sometimes my family helps me by caring one bag each. 
Second, when we go to buy groceries I always carry the bags of food I never fall or say ""I'm tired"". If I'm said ""I'm tired"" they wouldn't pay me 5 dollars an hour. 
Third, I always say to my brother never to give up when we are carrying something because you can get something.
In conclusion I think Im a horse rather then a donkey because I never do things to stop doing what im doing.",5
"I am like a horse because I try to do and get on everything right. I try not to be lazy and I try not to do bad things like the donkey, because if I do bad things on purpose, I would have to work even harder than the others. This would not be a good thing. If I were a donkey, I would be  embarrassed that I have to work harder. But, I would get what I did. Kind of like a punishment. Good thing I'm not a donkey. I can give you three examples why I'm a horse. I work hard, and I get what I earned. Two, I don't do bad things on porpuse. And number three, I like to get things done by doing it fair. Not by dropping it and say I'm done. If you or me, do things like the donkey, we would feel really sad and sorry for myself. And so would you. ",4.8
"Ivan wanted to make a little library. He learned How to make it. Ivan and his mom bought six nails, wood, and the paint. They also prepared a hamer, abd a gogle. They built a roof first. 

Next, Ivan and his mom made a main part of the little library. It is use to put some books to read. There is a door outside. Ivan paints a little library using some bright colors. He uses some colors like blue and green. 

They finished making a little library. They put that library in front of their house. Ivan put a sign it said 'Bring a book! Take a book!'. There are some books inside. 

Ivan looked out of his window. People are coming to the little library. A small girl was showing a book to her dad. Many people bring many books. He is happy that other people are enjoying his library. He is also proud of himself. He wishes many people will be happy. ",5.8
Mona and her dad Going to The Park. Mona see the people in the Park. Mona see the monkey bars the monkey bars are fix. Mona's dad sit. Mona see her friend. Worker is don his job. Mona use the monkey bars. ,2.5
"the gril will clime in monkey bars and she will play with her fried and she will wallk from Park and Go home. 

she was wllking in the park and she go playgroun DaD tell about the monkey bars but it was fixing and she want to swing but the other childan was doing and she hide to wate and she meet her firnd shes firnd was doing Jump rope and new monkey bars was fixed.",3.8
mouna got to the park the monkekey bars wos klousd He gow on the pen hk He hid to weyt He finds Hes frand. Hes sad Kan iy gun papter you the monkey hars aurben Hes plau on monkey bars.,2.2
"They are work
___________",1.8
"First, 
Kim and Santo was buiding a playhouse with the sticks. Then Santo thinks that it is going to rain. When they finish building their playhouse it suddenly raines. Kim and Santo had a problem, they can't go out because it is rainy. Kim got the idea to build their playhouse in their home, and they used cushions and pillows to build their playhouse. Finally, they played in their playhouse happily. ",4.5
"1. boy adn gol bilding haws
2. The clawds wos grey
3. it starst reyning
4. boy and gorl wos sad
5. The The bild haws in sayd
6. They playd in sayd",2.8
Kim and Santo building sticks hous. than a  boy s in clouds. than rain starts to rain. gerl and boy rans too houMe. than a boy hev a idea to build a house with cushions and blanket. after thay build a hous with cushions and blanket. the rain finish. ,3.5
Kim and Santo are building a playhous. first they clect sticks. the clouds get darck it start to rain. The kids came inside. the kids have a idea. they have make a playhous inside. then they rest it. and it works. the and.,2.8
boy and gaul build haus. luc et a clouds. hoy rayn. next boy and gaul first boy and gaul build blanket hausoes I laic thes haus. a rain end boy and gaul cen goy stics haus. ,2.5
Ivan want's do his litle library. He learns about litle library. Ivan built roof first. Next Ivan want paint the library. He choose a his favorite colours. Next Ivan and his mum put litle library outside. They put flowers in front of their house. Ivan look at window and see how girl showing a book her father and Ivan was happy. ,3.2
"If I could have to chose wich character from the story I am, I would say I'm more like the horse. I usually do my job, but no one is perfect. Sometimes I'm also disobeying. for example when I sometimes used to clean my room and I don't want to O mak it easier and put my stuff underneath my bed. Most of the time I obey to the jobs I had given. I don't like to do my job but I know I'm also like the donkey but I guess I will live with it. I can Improve myself only by doing more and more, day after day. I love helping and I hate to clesn my room. I am also like a horse because even if sometimes I don't have to do something I would do it because it will help me to be more like the horse. I know I will never be perfect but I just need to do my best. ",5.6
I am more like the horse. I think that becaus my teacher always says that I work too much. The horse worked harder the first time and I usually work really hard. I am also like the horse because when my teacher gives us homework that is due a couple of days after she assignes it I do it the first day so I don't have to worry about it and it will be easy for me the next couple of days. The horse did the hard work first and so it was easier for him the next time he had to work. The horse is smarter than the donkey. My mom always tells me that she thinks that I am the smartest girl in the worls. I like the horse better and I think that he is better than the donkey.,5.8
"I think I'm very alike to the horse. I work very hard to get a job done not just act lazy. I help my parents alot, for example I go to work with them. If someone does something I know is not good I don't copy them. I just ignore it and maybe talk about it with my parents. I believe everyone should have jobs not just be lazy and pretend you're doing something. If someone like one of my friends don't do something right or do something wrong I explain to them just so it won't happen again. That's because some mistakes happen big and that's why it's important. ",5.8
"I lik to tub

Tim and Lacky shampoo

and Tim Santa  

and is Tim shampoo is Dog

and the Lucky is Dog",1
"i Pek e ha Pe

i Dek e is Men

i DeKe is mn
i Dek he wi to run
iDek he wi to has
iDek he hpe",1
the dog got mud they put water on the big tub there thaking the collar of and put the dog in the tub they brush him and put shampoo and driy him up with the towel after that he gose to play,2
First Lucky got mud on him. Then Tim and Lili washed Lucky. Then pet him. After they pet him thet combed him. Then they dried him. After thay dried him they let him go.,3
"Lucky was robling in the mud. Tim and Lili were makeing a bath for Lucky. Tim and Lili tried to put Lucky into the tub but he will not go to the tub. Finilly Tim and Lili put Lucky into the tub. They used soap, water, and a brush to clean him. After that they took Lucky out of the tub and they took out Lucky's towle to make him dry. Then they took Lucjy home and gave him some thing to eat and drink. Then Lucky took a rest. Tim said to Lily we will never let Lucky go to the mud because he will be dirty. ",4
"One day, Lucky went out to play in the mud. Lucky got really dirty so Tim and Lili wanted to wash him. First, they got everything they needed. They tried to put Lucky in the tub, but he moved back. Finally, they got Lucky in the tub. Then, Tim scrubbed him. After Lucky's bath, Tim and Lili dried him. Now that Lucky was all clean, they all went home to get a goodnight's sleep. ",5
"Tim and Lily see Lucky take a mud bath. ""If Lucky likes baths so much, why don't we give him a real bath?"" asked Tim. They got out a bucket and filled it with water. ""Let's get Lucky in there."" Lili said. It took 15 minutes to catch Lucky and get him in the tub. They washed Lucky for another 15 min. Lucky got as white as the clouds after the bath. He also felt much better after they dried him off. When Lucky was dry, he ran inside for a snack. ",6
Lucky Dat and they mud. Lucke nED a bat. Lukce wat wteto hE abot. A bab and a gracH Locke. Locky was Qenn. Lucky Gt Qenn for aor.,1.5
"firs the Dog shlas in The mud. then The Dog ran. 
Next They put The Shampoo on The Brush and Thay put his towel. Then he Berks ",1.8
"Lucky was in the mud. Lucky dont wan a bad. Tim and Lili push Lucky, Then Tim brush Lucky. And Lucky was clain. Now Lucky was sad becuse tont has collar. ",2.5
Whan day Lucky derty of mud. Then Tim and Lili took Lucky a bath. They put shampoo on Lucky. They took of the dirt of Lucky with a Brush. Then they dride him with a towel. then he went to get dirty. ,2.8
Lucky goes in the mud and Tim wants him to take a bath. Lucky doeset want to take a bath so they push Lucky in the bath tub. Tim washes Lucky and then they dry him. Lucky goes back in the mud. ,2.8
They brush the dog. they put his collar on. they served him food. the dog started eating. when he finish his food. He ran to the mud he was rolling on the mud. they had to wash him again. ,3.5
"One day, a dog named Lucky and he was rolling in the mud. So the boy named Tim filled the tub with shampoo and water. Then, Lili and Tim pushed Lucky and his collar into the tub. After that, they washed Lucky with a hard brush. After they scrubed Lucky off he ran to his dog house and he was asleep. ",3.8
Lucky likes to roll in the mud. Tim and Lili get the tud redy for Lucky. They take off his collar so they wont lose it. Next they get shampoo and brush out and put shampoo on the brush and clean the mud off Lucky. Then they get a towel out and dry Lucky. Lucky likes the mud so much that he goes in the mud agin.,3.8
"Lucky rolled in the mud. Tim and Lili wanted to give him bath since he rolled in the mud. They took a tub and filled it with warm water inside the tub. Lucky did not want to go in the tub and have shower. Tim and Lili had to pull on his collar to get him in the tub. Then they brushed him and they had put shampoo on Lucky while scrubbing. Finally, they dried Lucky up with, a towel. After that, Tim, Lili, and Lucky began to play fetch together and were happy.",4.5
"Lucky rolled in a mud puddle. Then Tim poured water into a big bucket. Next, they put Lucky in the bucket. And then they scrubbed him with dog shampoo and conditioner. Last they dry Lucky with a towel. Finally they went to feed Lucky. ",4.8
